animekaId,name,score,votes,country,episodes,format,duration,duration_global,running,date_start,date_end,categories,studios,authors,name_original,url,source
3480,A Film About Us,2.45,121,Grande-Bretagne,1,film,6,6,False,2005,2005,COMÉDIE,AUCUN,LINO PEDRO,A Film About Us,http://animeka.com/animes/detail/a-film-about-us.html,http://animeka.com/animes/~_3.html
1615,Tsuki wa Higashi ni Hi wa Nishi ni - Operation Sanctuary,8.51,382,Japon,13,eps,13,169,False,2004,2004,FANTASTIQUE & MYTHE|COMÉDIE|AMOUR & AMITIÉ,RADIX|AT-X,AUGUST SOFT,Tsuki wa Higashi ni Hi wa Nishi ni - Operation Sanctuary,http://animeka.com/animes/detail/hani-hani.html,http://animeka.com/animes/~_362.html
5988,Nike Japan - Victory,10.0,1,États-Unis,1,pub,1,1,False,2000,2000,SPORT,WILD BRAIN INC,NIKE,Nike Japan - Victory,http://animeka.com/animes/detail/nike-japan-victory.html,http://animeka.com/animes/~_258.html
5989,Les Nimbols (2007),1.69,13,Allemagne,26,eps,13,338,False,2002,2003,FAMILIAL & JEUNESSE|ANIMATION 3D,TRAFFIX ENT.|MONDO TV|FILMFERNSEHFONDS BAYERN,DAIMLER CHRYSLER,Die Nimbols,http://animeka.com/animes/detail/les-nimbols.html,http://animeka.com/animes/~_205.html
5982,Bouygues Telecom - Kobby (1997),4.0,10,France,3,pub,1,3,False,1997,1997,ESPACE & SCI-FICTION,HÉMISPHèRE DROIT|FANTôME,MARGUIN MOïRA|BOUYGUES TELECOM|HATAI TAKEO,Bouygues Telecom - Kobby,http://animeka.com/animes/detail/kobby.html,http://animeka.com/animes/~_41.html
5983,NTT-East - Gatchaman 2000,9.17,6,Japon,2,pub,1,2,False,2000,2000,ACTION|CYBER & MECHA|ESPACE & SCI-FICTION,TATSUNOKO PRODUCTION,YOSHIDA TATSUO|NTT-EAST,NTT-East - Gatchaman 2000,http://animeka.com/animes/detail/ntt-east-gatchaman-2000.html,http://animeka.com/animes/~_261.html
5980,Coca-Cola - Super Mom vs The Aliens,1.33,12,États-Unis,1,pub,1,1,False,1998,1998,ACTION|CARTOON & COMIC,WILD BRAIN INC,COCA-COLA COMPANY,Coke - Super Mom vs The Aliens,http://animeka.com/animes/detail/coca-cola-super-mom-vs-the-aliens.html,http://animeka.com/animes/~_57.html
5981,Shiseido - Aleph,7.92,12,Japon,1,pub,2,2,False,1998,1998,SPORT,IT PLANNING INC.,INOUE TAKEHIKO|SHISEIDO,Shiseido - Aleph,http://animeka.com/animes/detail/shiseido-aleph.html,http://animeka.com/animes/~_316.html
5986,Murphy's Irish Stout - Last Orders,3.0,2,Japon,1,pub,1,1,False,1997,1997,ACTION,PRODUCTION I.G|NEXUS PRODUCTIONS,MURPHY'S|KITAKUBO HIROYUKI,Murphy's Irish Stout : Last Orders,http://animeka.com/animes/detail/murphy-last-orders.html,http://animeka.com/animes/~_250.html
5987,Nike - Destination Moon,10.0,1,États-Unis,1,pub,1,1,False,1998,1998,COMÉDIE,WILD BRAIN INC,NIKE,Nike - Destination Moon,http://animeka.com/animes/detail/nike-destination-moon.html,http://animeka.com/animes/~_258.html
5984,Esso - Lupin,2.5,4,Japon,1,pub,1,1,False,1998,1998,AVENTURE|COMÉDIE,STUDIO TELECOM,ESSO,Esso - Lupin,http://animeka.com/animes/detail/esso-lupin.html,http://animeka.com/animes/~_90.html
5985,Coca-Cola - Final Fantasy 9,6.6,43,Japon,1,pub,1,1,False,2000,2000,FANTASTIQUE & MYTHE|COMÉDIE|ANIMATION 3D,SQUAREENIX,SQUARE-ENIX|COCA-COLA COMPANY,Coca-Cola - Final Fantasy 9,http://animeka.com/animes/detail/coca-cola-final-fantasy-9.html,http://animeka.com/animes/~_57.html
6796,Hatsukoi Limited (2011),8.58,637,Japon,12,eps,25,300,False,2009,2009,COMÉDIE|AMOUR & AMITIÉ,J.C. STAFF,KAWASHITA MIZUKI,Hatsukoi Limited,http://animeka.com/animes/detail/hatsukoi-limited.html,http://animeka.com/animes/~_125.html
6797,Denpa teki na Kanojo,9.17,508,Japon,2,oav,40,80,False,2009,2009,FANTASTIQUE & MYTHE,BRAINS BASE,KATAYAMA KENTAROU,Denpa teki na Kanojo,http://animeka.com/animes/detail/denpa-teki-na-kanojo.html,http://animeka.com/animes/~_70.html
6794,Madox-01,7.18,17,Japon,1,oav,42,42,False,1988,1988,ACTION|CYBER & MECHA|ESPACE & SCI-FICTION,STUDIO ARTMIC|PONY CANYON|AIC,ARAMAKI SHINJI,Metal Skin Panic Madox 01,http://animeka.com/animes/detail/madox-01.html,http://animeka.com/animes/~_219.html
6795,Sousei Kishi Gaiarth,5.5,2,Japon,3,oav,45,135,False,1992,1993,ACTION|CYBER & MECHA,STUDIO ARTMIC|AIC,ARAMAKI SHINJI,Sousei Kishi Gaiarth,http://animeka.com/animes/detail/sousei-kishi-gaiarth.html,http://animeka.com/animes/~_327.html
6792,Iron Man - Armored Adventures (2009),9.52,77,France,52,eps,26,1352,False,2008,2012,ACTION|AVENTURE|CARTOON & COMIC,METHOD FILMS|MARVEL PRODUCTIONS LTD.,HECK DON|LEE STAN|KIRBY JACK|DITKO STEVE,Iron Man - Armored Adventures,http://animeka.com/animes/detail/iron-man-armored-adventures.html,http://animeka.com/animes/~_142.html
6793,Wolverine et les X-Men (2009),9.26,39,États-Unis,52,eps,22,1144,False,2008,2009,ACTION|AVENTURE|CARTOON & COMIC,MARVEL PRODUCTIONS LTD.,LEE STAN|KIRBY JACK,Wolverine and the X-Men,http://animeka.com/animes/detail/wolverine-et-les-xmen.html,http://animeka.com/animes/~_377.html
6790,Hulk VS Wolverine (2009),8.88,17,États-Unis,1,oav,60,60,False,2009,2009,ACTION|AVENTURE|CARTOON & COMIC,MARVEL STUDIOS|LIONSGATE HOME ENT.,LEE STAN|DITKO STEVE,Hulk VS Wolverine,http://animeka.com/animes/detail/hulk-vs-wolverine.html,http://animeka.com/animes/~_135.html
6791,Hulk VS Thor (2009),8.46,13,États-Unis,1,oav,45,45,False,2009,2009,ACTION|AVENTURE|CARTOON & COMIC,MARVEL STUDIOS|LIONSGATE HOME ENT.,LEE STAN|DITKO STEVE,Hulk VS Thor,http://animeka.com/animes/detail/hulk-vs-thor.html,http://animeka.com/animes/~_135.html
6798,Pandora Hearts (2011),4.3,10911,Japon,25,eps,25,625,False,2009,2009,ACTION|FANTASTIQUE & MYTHE|COMÉDIE,XEBEC,MOCHIZUKI JUN,Pandora Hearts,http://animeka.com/animes/detail/pandora-hearts.html,http://animeka.com/animes/~_271.html
6799,Examurai Sengoku,7.11,166,Japon,24,eps,12,288,False,2009,2009,AVENTURE|COMBAT & ARTS MART.|ESPACE & SCI-FICTION,"TMS ENTERTAINMENT CO.,LTD.",IGARASHI HIROYUKI [EXILE - HIRO,Examurai Sengoku,http://animeka.com/animes/detail/examurai-sengoku.html,http://animeka.com/animes/~_91.html
